step_time,action,avg_cav_dist,reward,meanSpeed,TravelTime,ForcedT
0.1,-1,0.0,-1,72.22,265.8543339795071,0
0.2,-1,0.0,-1,72.22,265.8543339795071,0
0.3,-1,0.0,-1,72.22,265.8543339795071,0
0.4,-1,0.0,-1,72.22,265.8543339795071,0
0.5,-1,0.0,-1,72.22,265.8543339795071,0
0.6,-1,0.0,-1,72.22,265.8543339795071,0
0.7,-1,0.0,-1,72.22,265.8543339795071,0
0.8,-1,0.0,-1,72.22,265.8543339795071,0
0.9,-1,0.0,-1,72.22,265.8543339795071,0
1.0,-1,0.0,-1,72.22,265.8543339795071,0
1.1,-1,0.0,-1,72.22,265.8543339795071,0
1.2,-1,0.0,-1,72.22,265.8543339795071,0
1.3,-1,0.0,-1,72.22,265.8543339795071,0
1.4,-1,0.0,-1,72.22,265.8543339795071,0
1.5,-1,0.0,-1,72.22,265.8543339795071,0
1.6,-1,0.0,-1,72.22,265.8543339795071,0
1.7,-1,0.0,-1,72.22,265.8543339795071,0
1.8,-1,0.0,-1,72.22,265.8543339795071,0
1.9,-1,0.0,-1,72.22,265.8543339795071,0
2.0,-1,0.0,-1,72.22,265.8543339795071,0
2.1,-1,0.0,-1,72.22,265.8543339795071,0
2.2,-1,0.0,-1,72.22,265.8543339795071,0
2.3,-1,0.0,-1,72.22,265.8543339795071,0
2.4,-1,0.0,-1,72.22,265.8543339795071,0
2.5,-1,0.0,-1,73.71157783684511,260.5813846086899,0
2.6,-1,0.0,-1,73.71157783684511,260.5813846086899,0
2.7,-1,0.0,-1,73.71157783684511,260.5813846086899,0
2.8,-1,0.0,-1,73.71157783684511,260.5813846086899,0
2.9,-1,0.0,-1,73.71157783684511,260.5813846086899,0
3.0,-1,0.0,-1,73.71157783684511,260.5813846086899,0
3.1,-1,0.0,-1,73.71157783684511,260.5813846086899,0
3.2,-1,0.0,-1,73.71157783684511,260.5813846086899,0
3.3,-1,0.0,-1,73.71157783684511,260.5813846086899,0
3.4,-1,0.0,-1,73.71157783684511,260.5813846086899,0
3.5,-1,0.0,-1,73.71157783684511,260.5813846086899,0
3.6,-1,0.0,-1,78.25732742495742,245.71869923910833,0
3.7,-1,0.0,-1,78.04102742495742,246.35019515793385,0
3.8,-1,0.0,-1,77.82472742495742,246.98848281577733,0
3.9,-1,0.0,-1,77.60842742495743,247.63367237276125,0
4.0,-1,0.0,-1,77.39212742495744,248.28587638431392,0
4.1,-1,0.0,-1,77.17582742495743,248.94520986662937,0
4.2,-1,0.0,-1,76.95952742495743,249.61179036428567,0
4.3,-1,0.0,-1,76.74322742495744,250.2857380201052,0
4.4,-1,0.0,-1,76.52692742495745,250.96717564734422,0
4.5,-1,0.0,-1,73.2246541852594,263.0695447263186,0
4.6,-1,0.0,-1,73.0083541852594,263.7663417934649,0
4.7,-1,0.0,-1,72.7920541852594,264.4710140531772,0
4.8,-1,0.0,-1,72.5757541852594,265.1836957722019,0
4.9,-1,0.0,-1,72.35945418525941,265.9045242869413,0
5.0,-1,0.0,-1,72.14315418525942,266.63364009168197,0
5.1,-1,0.0,-1,72.11718243399217,266.72175115988875,0
5.2,-1,0.0,-1,72.11718243399217,266.72175115988875,0
5.3,-1,0.0,-1,72.11718243399217,266.72175115988875,0
5.4,-1,0.0,-1,72.11718243399217,266.72175115988875,0
5.5,-1,0.0,-1,72.11718243399217,266.72175115988875,0
5.6,-1,0.0,-1,71.13002783937858,270.1634125677623,0
5.7,-1,0.0,-1,71.00717783937858,270.60475086336106,0
5.8,-1,0.0,-1,70.88432783937859,271.04907075439576,0
5.9,-1,0.0,-1,70.76147783937859,271.49640255788995,0
6.0,-1,0.0,-1,70.63862783937859,271.94677700328555,0
6.1,-1,0.0,-1,70.51577783937859,272.40022523947897,0
6.2,-1,0.0,-1,70.39292783937859,272.8567788420031,0
6.3,-1,0.0,-1,70.27007783937859,273.3164698203566,0
6.4,-1,0.0,-1,70.14722783937859,273.7793306254848,0
6.5,-1,0.0,-1,70.02437783937859,274.24539415741646,0
6.6,-1,0.0,-1,69.90152783937859,274.7146937730589,0
6.7,-1,0.0,-1,69.77867783937859,275.1872632941566,0
6.8,-1,0.0,-1,69.65582783937859,275.6631370154164,0
6.9,-1,0.0,-1,69.53297783937859,276.142349712804,0
7.0,-1,0.0,-1,69.41012783937859,276.62493665201544,0
7.1,-1,0.0,-1,68.44805049158073,280.5765461977421,0
7.2,-1,0.0,-1,68.324015941939,281.0710031281749,0
7.3,-1,0.0,-1,68.20001002160498,281.5688222873837,0
7.4,-1,0.0,-1,68.07603068112587,282.07004963940494,0
7.5,-1,0.0,-1,67.95207604022771,282.5747309697991,0
7.6,-1,0.0,-1,67.82814437372443,283.08291195456763,0
7.7,-1,0.0,-1,67.7042340986011,283.5946382243525,0
7.8,-1,0.0,-1,67.5803437621737,284.10995542433136,0
7.9,-1,0.0,-1,67.45647203123532,284.62890927019015,0
8.0,-1,0.0,-1,67.3326176821072,285.1515456005194,0
8.1,-1,0.0,-1,67.20877959151846,285.67791042595854,0
8.2,-1,0.0,-1,67.08495672824614,286.20804997538016,0
8.3,-1,0.0,-1,66.35475304805172,289.4159799142369,0
8.4,-1,0.0,-1,66.23071027636098,289.974955013232,0
